epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,9,,-0.0020771026611328125,,0.0020771026611328125
0,9,0.013688324950635433,,-0.013688324950635433,
1,19,,-0.03753948211669922,,0.03753948211669922
1,19,-0.02145237848162651,,0.02145237848162651,
2,29,,-0.07172632217407227,,0.07172632217407227
2,29,-0.05618007481098175,,0.05618007481098175,
3,39,,-0.10381722450256348,,0.10381722450256348
3,39,-0.08925051987171173,,0.08925051987171173,
4,49,,-0.13479351997375488,,0.13479351997375488
4,49,-0.12065163254737854,,0.12065163254737854,
5,59,,-0.16519689559936523,,0.16519689559936523
5,59,-0.15134944021701813,,0.15134944021701813,
6,69,,-0.1957557201385498,,0.1957557201385498
6,69,-0.18201562762260437,,0.18201562762260437,
7,79,,-0.22905278205871582,,0.22905278205871582
7,79,-0.21340830624103546,,0.21340830624103546,
8,89,,-0.25738096237182617,,0.25738096237182617
8,89,-0.24365340173244476,,0.24365340173244476,
9,99,,-0.28768253326416016,,0.28768253326416016
9,99,-0.27349817752838135,,0.27349817752838135,
10,109,,-0.3127751350402832,,0.3127751350402832
10,109,-0.30167046189308167,,0.30167046189308167,
