epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,-0.017287371680140495,,0.017287371680140495,
1,15,-0.03724929690361023,,0.03724929690361023,
2,23,-0.04341423511505127,,0.04341423511505127,
3,31,-0.04401600733399391,,0.04401600733399391,
4,39,-0.04453706741333008,,0.04453706741333008,
5,47,-0.04500722512602806,,0.04500722512602806,
6,49,,-0.030910968780517578,,0.030910968780517578
6,55,-0.04542422667145729,,0.04542422667145729,
7,63,-0.04577639326453209,,0.04577639326453209,
8,71,-0.046099066734313965,,0.046099066734313965,
9,79,-0.04639729484915733,,0.04639729484915733,
10,87,-0.046509355306625366,,0.046509355306625366,
11,95,-0.046594832092523575,,0.046594832092523575,
12,99,,-0.03608536720275879,,0.03608536720275879
12,103,-0.046674519777297974,,0.046674519777297974,
13,111,-0.046717286109924316,,0.046717286109924316,
14,119,-0.04671144112944603,,0.04671144112944603,
15,127,-0.04675218462944031,,0.04675218462944031,
16,135,-0.046775370836257935,,0.046775370836257935,
17,143,-0.0467757023870945,,0.0467757023870945,
18,149,,-0.04268145561218262,,0.04268145561218262
18,151,-0.046769171953201294,,0.046769171953201294,
19,159,-0.046777818351984024,,0.046777818351984024,
20,167,-0.04681572690606117,,0.04681572690606117,
21,175,-0.04682072997093201,,0.04682072997093201,
22,183,-0.04680296778678894,,0.04680296778678894,
23,191,-0.0468001663684845,,0.0468001663684845,
24,199,,-0.04761219024658203,,0.04761219024658203
24,199,-0.04682156816124916,,0.04682156816124916,
25,207,-0.04676920175552368,,0.04676920175552368,
26,215,-0.046797722578048706,,0.046797722578048706,
27,223,-0.04682368040084839,,0.04682368040084839,
28,231,-0.046805739402770996,,0.046805739402770996,
29,239,-0.04682323709130287,,0.04682323709130287,
30,247,-0.04683021083474159,,0.04683021083474159,
31,249,,-0.045327186584472656,,0.045327186584472656
31,255,-0.046833544969558716,,0.046833544969558716,
32,263,-0.04682764410972595,,0.04682764410972595,
33,271,-0.04681277275085449,,0.04681277275085449,
34,279,-0.04679843783378601,,0.04679843783378601,
35,287,-0.046838607639074326,,0.046838607639074326,
36,295,-0.046849992126226425,,0.046849992126226425,
37,299,,-0.041597604751586914,,0.041597604751586914
37,303,-0.046838343143463135,,0.046838343143463135,
38,311,-0.04681578278541565,,0.04681578278541565,
39,319,-0.0468292236328125,,0.0468292236328125,
40,327,-0.04686645045876503,,0.04686645045876503,
41,335,-0.04681366682052612,,0.04681366682052612,
42,343,-0.046836525201797485,,0.046836525201797485,
43,349,,-0.04716300964355469,,0.04716300964355469
43,351,-0.046820878982543945,,0.046820878982543945,
44,359,-0.046862781047821045,,0.046862781047821045,
45,367,-0.046851128339767456,,0.046851128339767456,
46,375,-0.04685509204864502,,0.04685509204864502,
47,383,-0.04685157164931297,,0.04685157164931297,
48,391,-0.046859681606292725,,0.046859681606292725,
49,399,,-0.04317975044250488,,0.04317975044250488
49,399,-0.046859294176101685,,0.046859294176101685,
50,407,-0.046848952770233154,,0.046848952770233154,
51,415,-0.04681306704878807,,0.04681306704878807,
52,423,-0.0467962883412838,,0.0467962883412838,
53,431,-0.046858519315719604,,0.046858519315719604,
54,439,-0.04679867997765541,,0.04679867997765541,
55,447,-0.0468694232404232,,0.0468694232404232,
56,449,,-0.04881691932678223,,0.04881691932678223
56,455,-0.046861082315444946,,0.046861082315444946,
57,463,-0.046868324279785156,,0.046868324279785156,
58,471,-0.04687666893005371,,0.04687666893005371,
59,479,-0.046761125326156616,,0.046761125326156616,
60,487,-0.04681256413459778,,0.04681256413459778,
61,495,-0.04689273238182068,,0.04689273238182068,
62,499,,-0.043236732482910156,,0.043236732482910156
62,503,-0.04674339294433594,,0.04674339294433594,
63,511,-0.0468905009329319,,0.0468905009329319,
64,519,-0.04682156443595886,,0.04682156443595886,
65,527,-0.04688030853867531,,0.04688030853867531,
66,535,-0.04686206579208374,,0.04686206579208374,
67,543,-0.04687213897705078,,0.04687213897705078,
68,549,,-0.026149272918701172,,0.026149272918701172
68,551,-0.04684117063879967,,0.04684117063879967,
69,559,-0.04687264561653137,,0.04687264561653137,
70,567,-0.046862006187438965,,0.046862006187438965,
71,575,-0.04684358835220337,,0.04684358835220337,
72,583,-0.04684251546859741,,0.04684251546859741,
73,591,-0.046864330768585205,,0.046864330768585205,
74,599,,-0.04690670967102051,,0.04690670967102051
74,599,-0.04686570540070534,,0.04686570540070534,
75,607,-0.04687255620956421,,0.04687255620956421,
76,615,-0.04685097932815552,,0.04685097932815552,
77,623,-0.046852439641952515,,0.046852439641952515,
78,631,-0.04688414931297302,,0.04688414931297302,
79,639,-0.046856191009283066,,0.046856191009283066,
80,647,-0.04686454311013222,,0.04686454311013222,
81,649,,-0.04439377784729004,,0.04439377784729004
81,655,-0.0468575656414032,,0.0468575656414032,
82,663,-0.046835657209157944,,0.046835657209157944,
83,671,-0.04688078165054321,,0.04688078165054321,
84,679,-0.046875473111867905,,0.046875473111867905,
85,687,-0.046837981790304184,,0.046837981790304184,
86,695,-0.0468561053276062,,0.0468561053276062,
87,699,,-0.047528743743896484,,0.047528743743896484
87,703,-0.04680141434073448,,0.04680141434073448,
88,711,-0.04671156406402588,,0.04671156406402588,
89,719,-0.04682150110602379,,0.04682150110602379,
90,727,-0.0468805730342865,,0.0468805730342865,
91,735,-0.046866536140441895,,0.046866536140441895,
92,743,-0.046881675720214844,,0.046881675720214844,
93,749,,-0.05694580078125,,0.05694580078125
93,751,-0.046807289123535156,,0.046807289123535156,
94,759,-0.04680546745657921,,0.04680546745657921,
95,767,-0.04684310778975487,,0.04684310778975487,
