epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,3,0.08075159788131714,,-0.08075159788131714,
1,7,0.04540761932730675,,-0.04540761932730675,
2,11,0.019026273861527443,,-0.019026273861527443,
3,15,0.0019635213539004326,,-0.0019635213539004326,
4,19,-0.004980726633220911,,0.004980726633220911,
5,23,-0.006963298190385103,,0.006963298190385103,
6,27,-0.007372498977929354,,0.007372498977929354,
7,31,-0.007355733774602413,,0.007355733774602413,
8,35,-0.007387095596641302,,0.007387095596641302,
9,39,-0.007399023976176977,,0.007399023976176977,
10,43,-0.007395889610052109,,0.007395889610052109,
11,47,-0.007394987624138594,,0.007394987624138594,
12,49,,-0.0073108673095703125,,0.0073108673095703125
12,51,-0.0073805758729577065,,0.0073805758729577065,
13,55,-0.007396159693598747,,0.007396159693598747,
14,59,-0.007406341377645731,,0.007406341377645731,
15,63,-0.007392957806587219,,0.007392957806587219,
16,67,-0.007412077859044075,,0.007412077859044075,
17,71,-0.007402693387120962,,0.007402693387120962,
18,75,-0.00741604482755065,,0.00741604482755065,
19,79,-0.007394944317638874,,0.007394944317638874,
20,83,-0.007411084603518248,,0.007411084603518248,
21,87,-0.007414510473608971,,0.007414510473608971,
22,91,-0.007402025628834963,,0.007402025628834963,
23,95,-0.00740915397182107,,0.00740915397182107,
24,99,,-0.007736682891845703,,0.007736682891845703
24,99,-0.007404185365885496,,0.007404185365885496,
25,103,-0.007411985192447901,,0.007411985192447901,
26,107,-0.007417171262204647,,0.007417171262204647,
27,111,-0.007413765415549278,,0.007413765415549278,
28,115,-0.00739401625469327,,0.00739401625469327,
29,119,-0.007380728144198656,,0.007380728144198656,
30,123,-0.00739461462944746,,0.00739461462944746,
31,127,-0.00743395509198308,,0.00743395509198308,
32,131,-0.007413599640130997,,0.007413599640130997,
33,135,-0.007421594578772783,,0.007421594578772783,
34,139,-0.007418369874358177,,0.007418369874358177,
35,143,-0.007419828791171312,,0.007419828791171312,
36,147,-0.0074085695669054985,,0.0074085695669054985,
37,149,,-0.007569313049316406,,0.007569313049316406
37,151,-0.007432315964251757,,0.007432315964251757,
38,155,-0.0074175382032990456,,0.0074175382032990456,
39,159,-0.007428030949085951,,0.007428030949085951,
40,163,-0.00744032533839345,,0.00744032533839345,
41,167,-0.007434515282511711,,0.007434515282511711,
42,171,-0.007425825577229261,,0.007425825577229261,
43,175,-0.007418373133987188,,0.007418373133987188,
44,179,-0.0074204388074576855,,0.0074204388074576855,
45,183,-0.007411861326545477,,0.007411861326545477,
46,187,-0.007429806049913168,,0.007429806049913168,
47,191,-0.007421356160193682,,0.007421356160193682,
48,195,-0.007424583192914724,,0.007424583192914724,
49,199,,-0.0065250396728515625,,0.0065250396728515625
49,199,-0.007443229202181101,,0.007443229202181101,
50,203,-0.007443677168339491,,0.007443677168339491,
51,207,-0.007443878799676895,,0.007443878799676895,
52,211,-0.007437811698764563,,0.007437811698764563,
53,215,-0.007430099416524172,,0.007430099416524172,
54,219,-0.007451681420207024,,0.007451681420207024,
55,223,-0.007418191060423851,,0.007418191060423851,
56,227,-0.007444212678819895,,0.007444212678819895,
57,231,-0.007441976573318243,,0.007441976573318243,
58,235,-0.007451692596077919,,0.007451692596077919,
59,239,-0.007405038457363844,,0.007405038457363844,
60,243,-0.007454372476786375,,0.007454372476786375,
61,247,-0.0074298568069934845,,0.0074298568069934845,
62,249,,-0.007981300354003906,,0.007981300354003906
62,251,-0.007454953622072935,,0.007454953622072935,
