epoch,step,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,9,,-0.19524502754211426,,0.19524502754211426
0,9,-0.06548583507537842,,0.06548583507537842,
1,19,,-0.4592437744140625,,0.4592437744140625
1,19,-0.34490105509757996,,0.34490105509757996,
2,29,,-0.6680643558502197,,0.6680643558502197
2,29,-0.5784412622451782,,0.5784412622451782,
3,39,,-0.8863976001739502,,0.8863976001739502
3,39,-0.7915463447570801,,0.7915463447570801,
4,49,,-1.0580906867980957,,1.0580906867980957
4,49,-0.9921898245811462,,0.9921898245811462,
5,59,,-1.2589797973632812,,1.2589797973632812
5,59,-1.1861401796340942,,1.1861401796340942,
6,69,,-1.4771208763122559,,1.4771208763122559
6,69,-1.3782013654708862,,1.3782013654708862,
7,79,,-1.606734275817871,,1.606734275817871
7,79,-1.5617440938949585,,1.5617440938949585,
8,89,,-1.8317394256591797,,1.8317394256591797
8,89,-1.74271559715271,,1.74271559715271,
9,99,,-1.9947547912597656,,1.9947547912597656
9,99,-1.9168829917907715,,1.9168829917907715,
10,109,,-2.1671066284179688,,2.1671066284179688
10,109,-2.0844194889068604,,2.0844194889068604,
11,119,,-2.2081336975097656,,2.2081336975097656
11,119,-2.2439844608306885,,2.2439844608306885,
12,129,,-2.473994255065918,,2.473994255065918
12,129,-2.388288736343384,,2.388288736343384,
13,139,,-2.553683280944824,,2.553683280944824
13,139,-2.5190751552581787,,2.5190751552581787,
14,149,,-2.586517333984375,,2.586517333984375
14,149,-2.6586365699768066,,2.6586365699768066,
15,159,,-2.798678398132324,,2.798678398132324
15,159,-2.7997374534606934,,2.7997374534606934,
16,169,,-2.9142532348632812,,2.9142532348632812
16,169,-2.913893461227417,,2.913893461227417,
17,179,,-2.8581438064575195,,2.8581438064575195
17,179,-3.053846597671509,,3.053846597671509,
18,189,,-3.430795669555664,,3.430795669555664
18,189,-3.1718883514404297,,3.1718883514404297,
19,199,,-3.4682235717773438,,3.4682235717773438
19,199,-3.332005023956299,,3.332005023956299,
20,209,,-4.2589263916015625,,4.2589263916015625
20,209,-3.564603805541992,,3.564603805541992,
21,219,,-2.752470016479492,,2.752470016479492
21,219,-3.776960849761963,,3.776960849761963,
22,229,,-4.230564117431641,,4.230564117431641
22,229,-4.1010894775390625,,4.1010894775390625,
23,239,,-4.854545593261719,,4.854545593261719
23,239,-4.100914478302002,,4.100914478302002,
24,249,,-3.47332763671875,,3.47332763671875
24,249,-4.721354007720947,,4.721354007720947,
25,259,,-5.179178237915039,,5.179178237915039
25,259,-5.1514201164245605,,5.1514201164245605,
26,269,,-8.010812759399414,,8.010812759399414
26,269,-5.990898609161377,,5.990898609161377,
27,279,,-9.572244644165039,,9.572244644165039
27,279,-6.420712471008301,,6.420712471008301,
28,289,,-6.580028533935547,,6.580028533935547
28,289,-7.080668926239014,,7.080668926239014,
29,299,,-8.769195556640625,,8.769195556640625
29,299,-7.898872375488281,,7.898872375488281,
30,309,,-8.907798767089844,,8.907798767089844
30,309,-8.508145332336426,,8.508145332336426,
31,319,,-11.49067497253418,,11.49067497253418
31,319,-9.070854187011719,,9.070854187011719,
32,329,,-10.90975570678711,,10.90975570678711
32,329,-10.505797386169434,,10.505797386169434,
33,339,,-10.249610900878906,,10.249610900878906
33,339,-11.477210998535156,,11.477210998535156,
34,349,,-13.16607666015625,,13.16607666015625
34,349,-11.513946533203125,,11.513946533203125,
35,359,,-14.3526611328125,,14.3526611328125
35,359,-12.091200828552246,,12.091200828552246,
36,369,,-9.475147247314453,,9.475147247314453
36,369,-12.137289047241211,,12.137289047241211,
37,379,,-10.236949920654297,,10.236949920654297
37,379,-11.578731536865234,,11.578731536865234,
38,389,,-15.4808349609375,,15.4808349609375
38,389,-12.743264198303223,,12.743264198303223,
39,399,,-12.669189453125,,12.669189453125
39,399,-12.699877738952637,,12.699877738952637,
40,409,,-16.558975219726562,,16.558975219726562
40,409,-12.942373275756836,,12.942373275756836,
41,419,,-14.422386169433594,,14.422386169433594
41,419,-13.325550079345703,,13.325550079345703,
42,429,,-15.80611801147461,,15.80611801147461
42,429,-13.07894515991211,,13.07894515991211,
43,439,,-17.440204620361328,,17.440204620361328
43,439,-12.6033296585083,,12.6033296585083,
44,449,,-17.082263946533203,,17.082263946533203
44,449,-13.406956672668457,,13.406956672668457,
45,459,,-14.085193634033203,,14.085193634033203
45,459,-13.481197357177734,,13.481197357177734,
46,469,,-20.082326889038086,,20.082326889038086
46,469,-14.351489067077637,,14.351489067077637,
47,479,,nan,,nan
47,479,nan,,nan,
48,489,,nan,,nan
48,489,nan,,nan,
49,499,,nan,,nan
49,499,nan,,nan,
50,509,,nan,,nan
50,509,nan,,nan,
51,519,,nan,,nan
51,519,nan,,nan,
52,529,,nan,,nan
52,529,nan,,nan,
53,539,,nan,,nan
53,539,nan,,nan,
54,549,,nan,,nan
54,549,nan,,nan,
55,559,,nan,,nan
55,559,nan,,nan,
56,569,,nan,,nan
56,569,nan,,nan,
57,579,,nan,,nan
57,579,nan,,nan,
58,589,,nan,,nan
58,589,nan,,nan,
