epoch,step,test_loss,test_renyi_lb,train_loss_epoch,train_loss_step,train_renyi_lb_epoch,train_renyi_lb_step
0,7,,,-0.13693411648273468,,0.13693411648273468,
1,15,,,-0.14849485456943512,,0.14849485456943512,
2,23,,,-0.15531525015830994,,0.15531525015830994,
3,31,,,-0.1633295714855194,,0.1633295714855194,
4,39,,,-0.16597861051559448,,0.16597861051559448,
5,47,,,-0.17850588262081146,,0.17850588262081146,
6,49,,,,-0.11404311656951904,,0.11404311656951904
6,55,,,-0.17367935180664062,,0.17367935180664062,
7,63,,,-0.17799785733222961,,0.17799785733222961,
8,71,,,-0.18648579716682434,,0.18648579716682434,
9,79,,,-0.19164714217185974,,0.19164714217185974,
10,87,,,-0.19646498560905457,,0.19646498560905457,
11,95,,,-0.19413402676582336,,0.19413402676582336,
12,99,,,,-0.24271202087402344,,0.24271202087402344
12,103,,,-0.20769038796424866,,0.20769038796424866,
13,111,,,-0.22920139133930206,,0.22920139133930206,
14,119,,,-0.231581449508667,,0.231581449508667,
15,127,,,-0.22841960191726685,,0.22841960191726685,
16,135,,,-0.2651890218257904,,0.2651890218257904,
17,143,,,-0.28014466166496277,,0.28014466166496277,
18,149,,,,-0.0025610923767089844,,0.0025610923767089844
18,151,,,-0.30616065859794617,,0.30616065859794617,
19,159,,,-0.3243769407272339,,0.3243769407272339,
20,167,,,-0.4017839729785919,,0.4017839729785919,
21,175,,,-0.46657776832580566,,0.46657776832580566,
22,183,,,-0.5538606643676758,,0.5538606643676758,
23,191,,,-0.6994439959526062,,0.6994439959526062,
24,199,,,,-1.3501815795898438,,1.3501815795898438
24,199,,,-0.7295783758163452,,0.7295783758163452,
25,207,,,-0.9186877012252808,,0.9186877012252808,
26,215,,,-1.0954766273498535,,1.0954766273498535,
27,223,,,-1.2508455514907837,,1.2508455514907837,
28,231,,,-1.5059927701950073,,1.5059927701950073,
29,239,,,-1.6418719291687012,,1.6418719291687012,
30,247,,,-1.5446499586105347,,1.5446499586105347,
31,249,,,,-1.4494600296020508,,1.4494600296020508
31,255,,,-1.8268935680389404,,1.8268935680389404,
32,263,,,-1.997317910194397,,1.997317910194397,
33,271,,,-2.209237813949585,,2.209237813949585,
34,279,,,nan,,nan,
35,287,,,nan,,nan,
36,295,,,nan,,nan,
37,299,,,,nan,,nan
37,303,,,nan,,nan,
38,311,,,nan,,nan,
39,319,,,nan,,nan,
40,327,,,nan,,nan,
41,335,,,nan,,nan,
42,343,,,nan,,nan,
43,349,,,,nan,,nan
43,351,,,nan,,nan,
44,359,,,nan,,nan,
45,367,,,nan,,nan,
46,375,,,nan,,nan,
47,383,,,nan,,nan,
48,391,,,nan,,nan,
49,399,,,,nan,,nan
49,399,,,nan,,nan,
50,407,,,nan,,nan,
51,415,,,nan,,nan,
52,423,,,nan,,nan,
53,431,,,nan,,nan,
54,439,,,nan,,nan,
55,447,,,nan,,nan,
56,449,,,,nan,,nan
56,455,,,nan,,nan,
57,463,,,nan,,nan,
58,471,,,nan,,nan,
59,479,,,nan,,nan,
60,487,,,nan,,nan,
61,495,,,nan,,nan,
62,499,,,,nan,,nan
62,503,,,nan,,nan,
63,511,,,nan,,nan,
64,519,,,nan,,nan,
65,527,,,nan,,nan,
66,535,,,nan,,nan,
67,543,,,nan,,nan,
68,549,,,,nan,,nan
68,551,,,nan,,nan,
69,559,,,nan,,nan,
70,567,,,nan,,nan,
71,575,,,nan,,nan,
72,583,,,nan,,nan,
73,591,,,nan,,nan,
74,599,,,,nan,,nan
74,599,,,nan,,nan,
75,607,,,nan,,nan,
76,615,,,nan,,nan,
77,623,,,nan,,nan,
78,631,,,nan,,nan,
79,639,,,nan,,nan,
80,647,,,nan,,nan,
81,649,,,,nan,,nan
81,655,,,nan,,nan,
82,663,,,nan,,nan,
83,671,,,nan,,nan,
84,679,,,nan,,nan,
85,687,,,nan,,nan,
86,695,,,nan,,nan,
87,699,,,,nan,,nan
87,703,,,nan,,nan,
88,711,,,nan,,nan,
89,719,,,nan,,nan,
90,727,,,nan,,nan,
91,735,,,nan,,nan,
92,743,,,nan,,nan,
93,749,,,,nan,,nan
93,751,,,nan,,nan,
94,759,,,nan,,nan,
95,767,,,nan,,nan,
96,775,,,nan,,nan,
97,783,,,nan,,nan,
98,791,,,nan,,nan,
99,799,,,,nan,,nan
99,799,,,nan,,nan,
100,800,nan,nan,,,,
